FlightNumber,DepartureDate,DepartureTime,ArrivalDate,ArrivalTime,Airline,DelayMinutes,DepartureDateTime,ArrivalDateTime,FlightDuration,DepartureHour
AA1234,2023-09-01,08:30:00,2023-09-01,10:45:00,American Airlines,15.0,2023-09-01 08:30:00,2023-09-01 10:45:00,135.0,8
DL5678,2023-09-01,13:15:00,2023-09-01,15:30:00,Delta,5.0,2023-09-01 13:15:00,2023-09-01 15:30:00,135.0,13
UA9101,2023-09-01,17:00:00,2023-09-01,19:15:00,United Airlines,25.0,2023-09-01 17:00:00,2023-09-01 19:15:00,135.0,17
DL5678,2023-09-02,14:00:00,2023-09-02,16:10:00,Delta,25.0,2023-09-02 14:00:00,2023-09-02 16:10:00,130.0,14
UA9101,2023-09-02,17:00:00,2023-09-02,19:15:00,United Airlines,20.0,2023-09-02 17:00:00,2023-09-02 19:15:00,135.0,17
AA1234,2023-09-02,08:30:00,2023-09-03,10:45:00,American Airlines,60.0,2023-09-02 08:30:00,2023-09-03 10:45:00,135.0,8
DL5678,2023-09-03,13:00:00,2023-09-03,15:30:00,Delta,10.0,2023-09-03 13:00:00,2023-09-03 15:30:00,150.0,13
UA9101,2023-09-03,15:00:00,2023-09-03,17:20:00,United Airlines,25.0,2023-09-03 15:00:00,2023-09-03 17:20:00,140.0,15
AA1234,2023-09-03,08:30:00,2023-09-03,10:00:00,American Airlines,15.0,2023-09-03 08:30:00,2023-09-03 10:00:00,90.0,8
DL5678,2023-09-04,12:30:00,2023-09-04,14:40:00,Delta,25.0,2023-09-04 12:30:00,2023-09-04 14:40:00,130.0,12
UA9101,2023-09-04,19:00:00,2023-09-04,21:15:00,United Airlines,45.0,2023-09-04 19:00:00,2023-09-04 21:15:00,135.0,19
